 14 38 43,38	-49 27 40,97	 14 38 41,71	-49 27 34,89	-00 00 07,85	 00 01 01,74	5.9	-15.7	 14 38 43,37	-49 28 05,96	 00 37 22,34	 15 16 05,72	04 38 33	HR5453	14 37 53.2	-49 25 33	16,2	90	1010,1	22,5	62	14,6	0,0	---		26
 18 28 44,80	-25 24 36,66	 18 28 48,33	-25 24 38,10	-00 00 07,85	 00 01 01,74	0.0	47.1	 18 28 37,91	-25 24 55,78	-03 05 17,69	 15 23 20,23	04 45 46	HR6913	18 27 58.2	-25 25 18	16,2	90	1010,0	22,5	62	14,5	0,0	---		26
 16 44 37,08	-41 07 45,79	 16 44 37,78	-41 07 43,70	-00 00 07,85	 00 01 01,74	1.4	4.5	 16 44 33,49	-41 08 02,85	-01 19 19,49	 15 25 14,00	04 47 40	HR6206	16 43 45.5	-41 07 08	16,2	90	1010,0	22,5	62	14,5	0,0	---		26
 17 38 11,15	-42 59 35,95	 17 38 12,61	-42 59 35,30	-00 00 07,85	 00 01 01,74	0.0	16.6	 17 38 07,18	-42 59 51,81	-02 10 36,33	 15 27 30,85	04 49 56	HR6553	17 37 19.2	-42 59 52	16,1	90	1010,0	22,5	62	14,4	0,0	---		26
 18 09 22,88	 20 48 12,24	 18 09 23,69	 20 48 06,20	-00 00 07,85	 00 01 01,74	-5.9	11.3	 18 09 11,37	 20 47 42,43	-02 39 27,75	 15 29 43,62	04 52 08	HR6787	18 08 45.5	+20 48 52	16,1	90	1010,0	22,5	62	14,4	0,0	---		26
 15 39 28,14	-29 48 25,63	 15 39 27,64	-29 48 23,90	-00 00 07,85	 00 01 01,74	1.4	-5.2	 15 39 23,56	-29 48 49,37	-00 06 28,35	 15 32 55,21	04 55 20	HR5812	15 38 39.4	-29 46 40	16,1	90	1010,0	22,5	62	14,4	0,0	---		26
 16 27 49,24	-18 28 32,60	 16 27 48,12	-18 28 28,90	-00 00 07,85	 00 01 01,74	4.5	-15.8	 16 27 43,27	-18 29 01,98	 00 21 21,84	 16 49 05,11	06 11 17	HR6118	16 27 01.4	-18 27 23	15,6	92	1010,2	22,2	62	14,3	0,0	---		26
 14 38 44,94	-49 27 31,94	 14 38 43,31	-49 27 25,39	-00 00 07,85	 00 01 01,74	5.9	-15.9	 14 38 46,08	-49 28 10,35	 02 12 26,11	 16 51 12,19	06 13 24	HR5453	14 37 53.2	-49 25 33	15,6	92	1010,2	22,2	62	14,3	0,0	---		26
 18 34 21,86	-42 17 29,74	 18 34 22,36	-42 17 23,70	-00 00 07,85	 00 01 01,74	5.9	4.5	 18 34 18,19	-42 17 45,99	-01 40 26,39	 16 53 51,80	06 16 03	HR6951	18 33 30.2	-42 18 45	15,6	92	1010,2	22,2	62	14,3	0,0	---		26
 18 28 46,11	-25 24 29,69	 18 28 46,89	-25 24 26,70	-00 00 07,85	 00 01 01,74	3.0	10.9	 18 28 40,06	-25 24 49,16	-01 32 54,05	 16 55 46,01	06 17 57	HR6913	18 27 58.2	-25 25 18	15,6	92	1010,2	22,2	62	14,3	0,0	---		26
 17 38 22,06	-15 24 03,42	 17 38 21,79	-15 24 04,20	-00 00 07,85	 00 01 01,74	0.0	0.0	 17 38 15,24	-15 24 28,22	-00 39 15,12	 16 59 00,12	06 21 10	HR6561	17 37 35.2	-15 23 55	15,5	91	1010,2	22,2	62	14,0	0,0	---		26
